task_id,dataset,proc_id_1,proc_id_2,p_overall,r_overall,f_overall,p_match,r_match,f_match,p_part_of,r_part_of,f_part_of
DT_02,3_judgments_incjdgFALSE_1_votes,82,83,0.09375,0.9375,0.17045454545454544,0.026845637583892617,1,0.05228758169934641,0.07051282051282051,0.9166666666666666,0.13095238095238096
DT_02,3_judgments_incjdgFALSE_1_votes,82,84,0.11764705882352941,0.5833333333333334,0.1958041958041958,0.027777777777777776,1,0.05405405405405406,0.09482758620689655,0.5238095238095238,0.16058394160583941
DT_02,3_judgments_incjdgFALSE_1_votes,83,82,0.0851063829787234,0.75,0.15286624203821655,0.03007518796992481,1,0.058394160583941604,0.058394160583941604,0.6666666666666666,0.10738255033557045
DT_02,3_judgments_incjdgFALSE_1_votes,83,89,0.078534031413612565,0.7894736842105263,0.14285714285714285,0.03296703296703297,0.8571428571428571,0.06349206349206349,0.04864864864864865,0.75,0.09137055837563453
DT_02,3_judgments_incjdgFALSE_2_votes,82,83,0.16216216216216217,0.375,0.22641509433962265,0.03125,0.25,0.05555555555555555,0.1388888888888889,0.4166666666666667,0.20833333333333334
DT_02,3_judgments_incjdgFALSE_2_votes,82,84,0.25,0.125,0.16666666666666666,0,0,0,0.25,0.14285714285714285,0.18181818181818182
DT_02,3_judgments_incjdgFALSE_2_votes,83,82,0.17777777777777778,0.5,0.26229508196721313,0.05128205128205128,0.5,0.09302325581395347,0.13953488372093023,0.5,0.21818181818181817
DT_02,3_judgments_incjdgFALSE_2_votes,83,89,0.14,0.3684210526315789,0.20289855072463772,0.06521739130434782,0.42857142857142855,0.11320754716981131,0.0851063829787234,0.3333333333333333,0.13559322033898305
DT_02,3_judgments_incjdgFALSE_3_votes,82,83,0.6666666666666666,0.125,0.21052631578947367,0.5,0.25,0.3333333333333333,0.5,0.08333333333333333,0.14285714285714285
DT_02,3_judgments_incjdgFALSE_3_votes,82,84,0.6666666666666666,0.08333333333333333,0.14814814814814814,0,0,0,0.6666666666666666,0.09523809523809523,0.16666666666666666
DT_02,3_judgments_incjdgFALSE_3_votes,83,82,0.25,0.0625,0.1,0,0,0,0.25,0.08333333333333333,0.125
DT_02,3_judgments_incjdgFALSE_3_votes,83,89,0.75,0.15789473684210525,0.2608695652173913,0.5,0.14285714285714285,0.22222222222222224,0.6666666666666666,0.16666666666666666,0.26666666666666666
DT_02,3_judgments_incjdgTRUE_1_votes,82,83,0.09375,0.9375,0.17045454545454544,0.026845637583892617,1,0.05228758169934641,0.07051282051282051,0.9166666666666666,0.13095238095238096
DT_02,3_judgments_incjdgTRUE_1_votes,82,84,0.11764705882352941,0.5833333333333334,0.1958041958041958,0.027777777777777776,1,0.05405405405405406,0.09482758620689655,0.5238095238095238,0.16058394160583941
DT_02,3_judgments_incjdgTRUE_1_votes,83,82,0.0851063829787234,0.75,0.15286624203821655,0.03007518796992481,1,0.058394160583941604,0.058394160583941604,0.6666666666666666,0.10738255033557045
DT_02,3_judgments_incjdgTRUE_1_votes,83,89,0.07772020725388601,0.7894736842105263,0.14150943396226415,0.03260869565217391,0.8571428571428571,0.06282722513089005,0.0481283422459893,0.75,0.09045226130653267
DT_02,3_judgments_incjdgTRUE_2_votes,82,83,0.16216216216216217,0.375,0.22641509433962265,0.03125,0.25,0.05555555555555555,0.1388888888888889,0.4166666666666667,0.20833333333333334
DT_02,3_judgments_incjdgTRUE_2_votes,82,84,0.25,0.125,0.16666666666666666,0,0,0,0.25,0.14285714285714285,0.18181818181818182
DT_02,3_judgments_incjdgTRUE_2_votes,83,82,0.17777777777777778,0.5,0.26229508196721313,0.05128205128205128,0.5,0.09302325581395347,0.13953488372093023,0.5,0.21818181818181817
DT_02,3_judgments_incjdgTRUE_2_votes,83,89,0.14,0.3684210526315789,0.20289855072463772,0.06521739130434782,0.42857142857142855,0.11320754716981131,0.0851063829787234,0.3333333333333333,0.13559322033898305
DT_02,3_judgments_incjdgTRUE_3_votes,82,83,0.6666666666666666,0.125,0.21052631578947367,0.5,0.25,0.3333333333333333,0.5,0.08333333333333333,0.14285714285714285
DT_02,3_judgments_incjdgTRUE_3_votes,82,84,0.6666666666666666,0.08333333333333333,0.14814814814814814,0,0,0,0.6666666666666666,0.09523809523809523,0.16666666666666666
DT_02,3_judgments_incjdgTRUE_3_votes,83,82,0.25,0.0625,0.1,0,0,0,0.25,0.08333333333333333,0.125
DT_02,3_judgments_incjdgTRUE_3_votes,83,89,0.75,0.15789473684210525,0.2608695652173913,0.5,0.14285714285714285,0.22222222222222224,0.6666666666666666,0.16666666666666666,0.26666666666666666
